domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
drrkmudgil.com,Dr R.K Mudgil,,IND,67,2868,2026-05-08T10:59:20.017823865Z,"['Amazon', 'Bulma', 'Google Adsense', 'Google Analytics', 'Google Code Prettify', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'PHP', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'WhatsApp Sharing', 'YouTube', 'jQuery']"
bubbleshooters.org,Play Bubble Shooter Game Online. No Download Required.,,,67,15000,2026-05-08T10:59:20.004140081Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Express', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Sitelinks Search Box', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
aficakpo.com,home - Afi Cakpo,,,52,2617,2026-05-08T10:59:20.004888388Z,"['Alternate Protocol', 'Automattic', 'Baidu Cloud', 'Better Click To Tweet', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FastClick', 'Fontello', 'GDPR Consent Management Platform', 'GZIP Module', 'GitHub Hosting', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Maps', 'Google Matched Content', 'Google Related Website Sites', 'Google Reseller', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'Mashshare', 'Media.net', 'Microdata for Google Shopping', 'Nginx', 'OneSignal', 'Onyx Internet', 'PHP', 'Perl', 'PixelYourSite', 'Polylang', 'Tailwind CSS', 'Theme In WP', 'Top 10', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'Yandex Hosting', 'eLand', 'jQuery']"
alhusnaliving.com,Luxury Furniture in Canada – Al Husna Living | Al Husna Living,,,67,4942,2026-05-08T10:59:20.0003626Z,"['Alternate Protocol', 'Chatbase', 'Express', 'Google', 'Google Adsense', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Instagram Follow Button', 'Investor Relations', 'Microdata for Google Shopping', 'Oddle', 'Perl', 'Pexels', 'QUIC', 'Thank You', 'Twitter Ads', 'Unsplash', 'Zyro']"
stephaniesflorist-bourne.co.uk,Stephanies Flowers & Gifts - Order Fresh Flowers Online,,,77,24765,2026-05-08T10:59:19.997629643Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Bing Cashback', 'Bulma', 'BunnyCDN General', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cognito Forms', 'Constant Contact', 'Content Delivery Network', 'Curator', 'Doofinder', 'DoubleClick Bid Manager', 'Ecologi', 'Font Awesome', 'Freshdesk Support', 'Freshworks CRM', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Lightwidget', 'MailChimp', 'Microdata for Google Shopping', 'Microsoft 365', 'Microsoft Application Insights', 'Microsoft Clarity', 'MyLiveChat', 'Ntent', 'POWr', 'PayPal Adaptive Payments', 'Paysafe', 'Privy', 'SafeBuy', 'Stripe', 'TrustIndex', 'TrustSpot', 'Trusted Shops', 'Twitter Ads', 'UTF-8', 'WF Cookie Consent', 'Way', 'Wild Apricot', 'YouTube', 'jsDelivr']"
ancientrealmsofmystery.com,Ancient Realms of Mystery,,,57,600,2026-05-08T10:56:19.979364482Z,"['Content Delivery Network', 'Fastly', 'Google Adsense', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Microdata for Google Shopping', 'UTF-8']"
travelsdestiny.com,Car Hire Jaipur Sightseeing Taxi | Jaipur Taxi Service,Rajasthan Tours And Travels,IND,82,25908,2026-05-08T10:55:42.360148383Z,"['Adult Content', 'Alternate Protocol', 'Apture Linking Platform', 'Contento', 'EmbedPress', 'Font Awesome', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Perl', 'QUIC', 'Schema Plugin', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WhatsApp Sharing', 'WordPress', 'WordPress Multisite', 'jQuery']"
littlesandlipstick.com,Quick Tips & Easy Recipes for Busy Moms | Mom Mode: On 365,,,62,18742,2026-05-08T10:55:42.342381356Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Google', 'Google Adsense', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Oddle', 'OpenResty', 'Pexels', 'QUIC', 'Thank You', 'Unsplash', 'Zyro']"
myserenitykitchen.com,Home - MSK,MSK,,62,17790,2026-05-08T10:53:20.006552484Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Astra Theme', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'EmbedPress', 'GenerateBlocks', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Theme In WP', 'UTF-8', 'Ultimate Addons for Gutenberg', 'WP Recipe Maker', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts']"
taxi-sylviecancellieri.fr,Accueil,,,55,93,2026-05-08T10:47:20.008869438Z,"['Alternate Protocol', 'Apture Linking Platform', 'Coming Soon Page', 'Content Delivery Network', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Pexels', 'Thank You', 'Zyro']"
indianstar.news,New India Abroad – Latest News & Features for the Global Indian Diaspora English-Speaking Community,,USA,77,7867,2026-05-08T10:47:19.979645492Z,"['Add to Any', 'Amazon CloudFront', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Constant Contact', 'DAV', 'DoubleClick Bid Manager', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Conversion Tracking', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Infolinks', 'InitiativeS', 'Instagram Follow Button', 'MGID', 'MGID Reseller', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Neighborhoods', 'Nginx', 'Prebid', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'YouTube', 'jsDelivr']"
artlanholdings.com,Artlanholdings.com | Artlanholdings.com,,,35,734,2026-05-08T10:47:10.903456353Z,"['Content Delivery Network', 'Ethy', 'Google Adsense', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Nginx', 'Parallels Plesk Panel', 'Tailwind CSS', 'UTF-8']"
gamesjoyit.com,Home | Games Joy It - Explore Thrilling Online Games,,,57,35663,2026-05-08T10:47:10.900228871Z,"['33 Across Direct', 'ADBRO Publisher', 'AMXRTB Publisher', 'AdYouLike Direct', 'Adiiix Publisher', 'Adtelligent Reseller', 'Advertising.com', 'AlgoriX Publisher', 'Amazon APS Direct', 'AppNexus', 'BidFuse Publisher', 'Brid.tv', 'Chocolate Direct', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'ContextWeb', 'Conversant Media', 'Criteo', 'Fireblade', 'FreeWheel Direct', 'Fyber Direct', 'Google Adsense', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'GumGum', 'Header Tag by Index Exchange', 'Impactify Publisher', 'Improve Digital', 'Inmobi', 'LKQD Direct', 'Lemma Publisher', 'Lijit Reseller', 'LoopMe Publisher', 'MGID', 'Media.net', 'Nuxt.js', 'OLO', 'OSS CDN', 'Openads/OpenX', 'Outbrain Direct', 'Pubmatic', 'RM Education', 'Smaato Direct', 'SmartAdServer Direct', 'SpringServe Direct', 'Streamlyn Media Publisher', 'Telligent', 'The MediaGrid Reseller', 'Truvid Reseller', 'UTF-8', 'VDO.AI Publisher', 'Vector Internet Services', 'Xapads Direct', 'Yandex Hosting', 'Yieldlab', 'Yieldmo Direct', 'Zest Stack Publisher', 'adingo', 'ucfunnel Direct', 'vidoomy Direct']"
kurdishyear.com,Kurdish Current Year 2725 | Newroz 2026,,TUR,87,20206,2026-05-08T10:47:10.894899503Z,"['Alternate Protocol', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fireblade', 'Google', 'Google Adsense', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google Related Website Sites', 'Google Reseller', 'Jetpack', 'LiteSpeed', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'PHP', 'QUIC', 'Sitelinks Search Box', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
messengerservicelosangeles.com,"Messenger Service Los Angeles : Courier, Pick-Up & Delivery",Courier &amp; Messenger Service in Los Angeles,USA,82,1116,2026-05-08T10:47:10.891847895Z,"['Alternate Protocol', 'Contact Form Plugin', 'EmbedPress', 'Font Awesome', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Lazy Load for WordPress', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Parcel', 'QUIC', 'StatCounter', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
airsoftlosangeles.com,"Airsoft Los Angeles, Top 10 Airsoft & Paintball Fields & Parks","Airsoft Fields Los Angeles, California",USA,82,15616,2026-05-08T10:47:10.890871094Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Contact Form Plugin', 'EmbedPress', 'Font Awesome', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Lazy Load for WordPress', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
paneamoreinternational.com,Paneamore International,,USA,70,,2026-05-08T10:44:20.007173941Z,"['Angular', 'Bulma', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'PHP', 'UTF-8', 'YouTube']"
